pathway	SRR8488421	SRR8488422	SRR8488423	SRR8488424	SRR8488426	SRR8488427	SRR8488428	SRR8488429	SRR8488430	SRR8488431	SRR8488432	SRR8488433	SRR8488434	SRR8488435	SRR8488436	SRR8488437	SRR8488438	SRR8488439	SRR8488440	SRR8488441	SRR8488442	SRR8488443	SRR8488444	SRR8488445	SRR8488446	SRR8488447	SRR8488448	SRR8488449	SRR8488450	SRR8488451	SRR8488452	SRR8488453	SRR8488454	SRR8488455	SRR8488456	SRR8488457	SRR8488458	SRR8488459	SRR8488460	SRR8488461	SRR8488462	SRR8488463	SRR8488464	SRR8488465	SRR8488466	SRR8488467	SRR8488468	SRR8488469	SRR8488470	SRR8488471	SRR8488472
CATECHOL-ORTHO-CLEAVAGE-PWY	0.0	0.0	0.0	0.0	25.985265067161638	60.39749792868794	0.0	24.221040866747547	0.0	0.0	0.0	189.7244647610861	0.0	138.28944589283185	0.0	0.0	0.0	0.0	0.0	17.90472111453351	0.0	0.0	42.54073690790075	0.0	0.0	0.0	0.0	245.7353090293386	0.0	0.0	0.0	0.0	82.04010964658791	0.0	34.54410883588424	38.44481483670479	0.0	0.0	85.10275271303394	0.0	13.297937965080006	0.0	0.0	0.0	30.729807407732192	0.0	0.0	3.637932687364759	0.0	0.0	70.55330461611462
CHLOROPHYLL-SYN	0.0	25.07844743606329	0.0	31.578578213205432	0.0	0.0	0.0	61.01013523418845	0.0	0.0	0.0	0.0	0.0	151.26010372976415	33.578840401630046	0.0	55.591761514301844	0.0	23.13242626065877	31.605560373262538	56.40573568537495	70.11382617613114	0.0	0.0	0.0	0.0	9.391279918782383	303.97799646961835	0.0	0.0	0.0	0.0	360.61217018707373	0.0	0.0	0.0	8.610486594844705	10.933787273866367	0.0	0.0	0.0	0.0	17.28917640392603	0.0	134.0519651150046	15.370096415821358	18.59235381126147	0.0	13.73665541423419	22.64162019108011	0.0
CITRULBIO-PWY	387.3525898210537	338.1214033816241	644.419769380776	218.44653906267357	478.2768350678297	860.395387135077	511.21430890891787	645.5825370321108	275.40158485676267	520.0508629010392	469.52141296938663	716.8884272275549	180.25565630273903	740.3315405465006	346.10324070415567	1289.4319262244371	847.1036754854991	126.91761853639983	396.85526885263886	515.2390342736728	601.7985734776345	555.435030785179	811.3379199497665	248.25487992986956	346.8889329121329	133.5717560574245	633.8221465133499	1473.679967561207	559.3006650199363	428.05182173126394	530.1899485551452	648.152584036229	1262.0976939176535	133.36053734231385	617.2822010173008	596.0419559954954	139.18733365236352	315.0842781015319	1434.445678735651	536.1130264193118	365.721248029371	220.5103604642479	277.4063435753403	320.88322407567557	424.4351040764859	432.7757126120036	95.78295248744048	1243.666874807684	108.50299990418662	469.43293299850734	487.04029235382814
COA-PWY	9395.547819531399	7977.551345043603	12020.755126462773	10940.306518165602	9917.96670453625	9138.591970104995	9014.15865434083	12087.003090100252	12005.264337875935	8184.022634248245	11399.31138385759	7412.946415085009	12126.68702819593	12001.521313187428	10059.122735043531	8693.387050224086	12493.37125973301	14381.796977725371	11655.379722940177	11754.245011036206	9821.180596903994	7871.4358885561405	11884.85878388875	12590.740735009853	8284.467921195761	11319.687351904357	11568.287471482392	13656.535401608518	9928.523399623327	20687.787881943084	13248.667525714232	16132.871189350284	10911.321716556959	7231.587940594486	10986.68004680779	9182.644025578424	6280.615502804909	10028.412498054218	10690.289718836882	11945.262028508523	13353.588774293028	9600.861488253096	9611.517153505927	8703.75359456605	11417.409292606435	9590.51451428482	7746.57525965056	8646.451552838427	8810.731928107774	9477.837642847038	19290.838192845833
COA-PWY-1	10051.762544823754	8604.794651613034	13015.012772138234	11693.152390997706	10680.143768827107	9847.928190086079	9667.266849384012	12752.468800338082	12986.09908550538	8689.875388554468	12354.253666516905	7906.123795614801	12832.362990013113	12751.178969420524	10907.90982986156	9239.984268147125	13283.904357280113	15653.29367528613	12518.656037986446	12419.490039077527	10657.178134874195	8345.072217090952	12918.046731274013	13266.087870244137	8916.44302829735	12211.468155908624	12371.739610305622	14676.035074400552	10300.243347099644	21977.545494952636	14107.783801071368	17503.794712337603	11869.467875653743	7609.375429801332	11929.28881403846	10218.203602682855	7040.620273277884	10833.820186947596	11182.788000748844	12836.600413731481	14130.71231569228	10464.897646668349	10500.332302297664	9337.315091695691	12148.354511794842	10217.931060285942	8729.201960416303	9311.455138046895	9740.455342571793	10213.734725433793	19610.60674468555
COBALSYN-PWY	8205.714691678435	6903.32810227527	10771.042510829691	9218.779832357515	10075.862126638402	8552.845029432443	7516.770341965322	12066.729713364564	11990.095730334866	7717.825454163943	11170.808727993533	7539.768930619972	7917.5837943878105	10530.679109160576	9289.277135662987	7398.508969668858	10366.13580938192	14347.789095143688	9884.724371076212	11204.37361416268	8563.968378091942	7043.537207122493	12260.696636462357	12343.875237111355	7968.38725883817	12200.849159902673	10215.428815995303	11739.672284563812	8406.72857985917	19053.498508556888	11364.887110771018	15928.647316631068	10087.950110939206	5461.571777741254	12076.559204980937	8394.652129302085	4929.715541060534	9263.797597096502	8354.350432086827	11026.005408644078	11602.036886361624	8988.365379928895	9268.41095090078	6643.042482239311	10825.19914638033	8522.791275512549	8248.549990149344	8261.232637764242	8834.66475020907	7651.148624859001	19388.01600018147
CODH-PWY	1367.2865539232298	1615.1277380929102	1302.6114241457794	2506.7999334548977	1600.4618562283108	1374.2321284975335	1929.72298638251	1094.3497900412417	2068.7080563930535	739.624196938357	661.5235694143297	313.26216363567073	1521.7480300951527	2789.7927579900943	2045.3635257617648	923.4211155923838	1677.6051957359912	3152.4219859672853	2667.3555693337657	1902.1862482200975	1799.5247613272647	667.3700995579353	1242.2588123416533	1502.6038548861948	615.3127146802402	682.4913066902756	1974.6796299913844	2305.7180517771612	741.5375952381348	7105.4426169464405	2122.8759260628	2424.213664530674	1604.788352709928	1304.8957624450607	1363.6195774961498	965.8793584207056	924.9313971338548	1367.9930436783834	795.0418290489821	1759.2762132062805	1633.3887177365295	1274.4122974877907	1704.0748135916817	1994.7513120257547	2963.22153422291	2168.7196677120514	536.8022535163385	830.2636417270063	795.8728199884515	1798.3407043469197	631.7633090448611
COLANSYN-PWY	5756.076815945407	5516.183887583773	8102.571124274515	6929.462115601226	6792.361506766283	8426.005073783224	5319.4327111788425	6381.647125272625	6944.799360582672	5455.72858094798	8316.119601922308	7042.091088174821	6688.706381565566	8386.968514219878	7003.325797995765	5892.253782055418	7703.198635116481	9775.66908373062	5984.742583463875	4404.3707245799205	5904.296811727111	3149.4237569656925	10746.27826424266	4848.330314401123	5917.760811635678	2295.20346919295	7271.736019004858	11866.848755175062	4866.496345086154	9008.756622174466	5110.734334622573	7449.711486777109	11629.272885764822	3410.8687307669456	10659.879366705407	6205.992084784983	2522.9568766636426	8337.942762820629	9710.877843360644	7660.610289751133	7609.793259357259	5443.128773824264	5032.484724489459	7023.2831302497825	6998.6852216896095	5814.461075652739	3348.6597554623822	7856.1411693982855	5402.43834450061	4321.668884001941	2443.8881165748544
COMPLETE-ARO-PWY	13080.09342632895	11729.147072190237	16454.050435852823	15158.410088160814	14691.773502801863	12461.276697795969	12464.467086107003	12154.737810217217	17543.291820555056	10496.046684454543	14440.814254563405	9780.78487484435	15995.479709716114	15389.158746640367	14208.994646569368	11163.266605450624	16523.796840590996	19859.848306902517	17404.7156537852	12639.980164736806	16384.600258613722	9483.183444832564	16062.664768690052	13137.36242563824	10647.2792521023	14285.565887046558	15974.712043370437	17995.331786863615	11868.596567681581	28178.51037926275	16768.712683566315	21699.130765222126	13616.057655814831	9337.098952130824	14939.709787409634	18013.179302250344	12874.256870569778	14040.858666263686	13681.77068580858	17154.548428192884	17583.96578273386	14924.012305254319	14506.934598519343	11702.694189307422	15620.542935262285	13399.651490225811	14616.531154991602	11436.64466110958	14237.176333366006	13415.665306902843	9458.045658165776
CRNFORCAT-PWY	60.76628096077769	0.0	41.30387188584563	0.0	5.968076023113849	100.59700810244811	0.0	0.0	0.0	0.0	0.0	16.59363315646187	0.0	0.0	0.0	0.0	0.0	147.21929773437267	76.52664149392704	100.6322795573049	7.7461597275323095	0.0	328.11189030729594	0.0	0.0	0.0	10.733438690644066	0.0	0.0	49.99194183799615	0.0	158.4769413886794	0.0	0.0	153.53681194671472	7.872805047206885	0.0	0.0	791.3906224348985	406.79901667060005	41.21206544202054	81.43839959035579	209.7417584754319	0.0	0.0	0.0	0.0	0.0	0.0	0.0	471.9816838439376
